Country,Continent,Total_Population,Population_Growth_Rate,Birth_Rate,Death_Rate,Net_Migration_Rate,Median_Age,Sex_Ratio,Infant_Mortality_Rate,Total_Fertility_Rate,Total_Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate,Youth_Unemployment_Rate
China,Asia,1413142846,0.18%,9.69,7.82,0.11,38.4,1.04,6.49,1.45,96.8%,49.4%,1.7%,11.4%
Colombia,South America,49336454,0.54%,15.06,7.84,1.85,31.2,0.95,11.65,1.94,95.6%,12.4%,4.6%,26.4%
Comoros,Africa,888378,1.34%,22.06,6.49,2.22,20.9,0.94,56.01,2.69,62%,29.5%,11.1%,21.7%
Democratic Republic Of The Congo,Africa,111859928,3.13%,39.64,7.74,0.63,16.7,1.0,59.12,5.56,80%,22.7%,2.9%,10.1%
Republic Of The Congo,Africa,5677493,2.33%,31.55,8.23,0.0,19.5,1.0,46.62,4.32,80.6%,26.8%,2.1%,42.3%
Costa Rica,North America,29344847,2.16%,27.92,7.45,1.16,20.3,0.97,54.04,3.47,89.9%,17.9%,0.9%,5.7%
Croatia,Europe,4169239,0.47%,8.6,12.98,0.26,43.9,1.01,8.58,1.46,99.4%,37.6%,36.1%,23.6%
Cuba,North America,10985974,0.19%,9.99,9.37,2.53,42.1,0.93,4.07,1.71,99.7%,25.5%,10.3%,7.4%
Cyprus,Europe,1308120,1%,10.37,6.99,6.65,37.9,0.93,8.2,1.48,99.4%,47%,23.2%,11.8%
Czechia,Europe,10706242,0%,8.43,10.77,2.32,43.3,1.05,2.37,1.5,99%,35%,26.4%,7.6%
Denmark,Europe,5946984,0.44%,11.25,9.55,2.71,42.0,0.99,3.0,1.77,,17.8%,17.1%,10.1%
Djibouti,Africa,976143,1.93%,22.03,7.08,4.37,24.9,0.83,46.02,2.13,,78.6%,82.2%,79.9%
Dominica,North America,74656,0.02%,13.64,8.12,5.3,34.9,1.02,11.0,2.01,,,,
Dominican Rep.,North America,11470261,1.18%,20.81,7.17,1.86,24.1,0.97,38.78,2.39,61.7%,12.2%,3.1%,35.7%
Ecuador,South America,17483326,1.1%,16.19,5.18,0.0,28.8,0.98,17.72,2.02,94.5%,18.4%,4.2%,14.2%
Egypt,Africa,109546720,1.59%,20.48,4.32,0.29,24.1,1.06,17.27,2.76,73.1%,48.1%,0.4%,24.3%
El Salvador,North America,6602370,0.46%,17.49,5.92,7.01,27.7,0.92,11.9,2.04,89.1%,14.1%,1.7%,13.7%
Eq. Guinea,Africa,1737695,3.36%,29.46,8.9,13.01,20.3,1.15,77.85,4.19,95.3%,97.4%,93%,18.3%
Eritrea,Africa,6274796,1.08%,26.72,6.6,9.38,20.3,0.97,40.63,3.5,76.6%,14.7%,0.2%,14.6%
Estonia,Europe,1202762,0.74%,8.48,13.13,2.73,43.7,0.89,3.38,1.62,99.9%,36.3%,23%,17.1%
Eswatini,Africa,1130043,0.72%,22.83,9.53,6.07,23.7,0.9,38.12,2.41,88.4%,16.5%,1.8%,50.9%
Ethiopia,Africa,116462712,2.42%,29.97,5.6,0.19,19.8,0.99,32.44,3.92,51.8%,8.8%,1.3%,5.7%
Fiji,Oceania,947760,0.42%,16.25,6.44,5.65,29.9,1.03,9.85,2.23,99.1%,35.6%,10.5%,18.1%
Finland,Europe,5614571,0.22%,10.33,10.37,2.25,42.8,0.97,2.11,1.74,,26.9%,16.3%,18.1%
France,Europe,47222613,0.12%,7.1,10.1,4.2,46.3,0.95,2.4,1.29,98.6%,28.6%,26.7%,36.9%
Gabon,Africa,2397368,2.39%,25.89,5.59,3.59,21.0,1.07,27.7,3.26,85.5%,86.2%,84.7%,38.4%
Gambia,Africa,2468569,2.23%,28.03,5.71,0.04,21.8,0.98,36.44,3.66,58.1%,21.4%,0.8%,15.5%
Georgia,Asia,4936390,0.01%,10.79,10.76,0.06,38.6,0.92,14.45,1.75,99.6%,56.3%,7.1%,28.3%
Germany,Europe,84220184,0.12%,9.02,11.97,1.78,47.8,0.98,3.14,1.58,,24.1%,19.9%,7%
Ghana,Africa,33846114,2.19%,28.04,5.99,0.16,21.4,0.95,31.87,3.61,79%,6.6%,0.3%,9.6%
Greece,Europe,10497595,0.35%,7.52,12.02,1.03,45.3,0.96,3.49,1.4,97.9%,36.5%,30.5%,36.9%
Grenada,North America,114299,0.29%,13.61,8.34,2.34,33.3,1.03,9.2,1.92,98.6%,98.6%,98.6%,
Guatemala,North America,17980803,1.54%,21.88,4.89,1.63,23.2,0.98,25.57,2.57,83.3%,20.1%,1.6%,7.2%
Guinea,Africa,13607249,2.75%,35.47,7.97,0.0,19.1,1.0,48.32,4.82,45.3%,61.2%,31.3%,8.2%
Guinea-Bissau,Africa,2078820,2.54%,36.25,7.32,3.54,18.0,0.96,47.69,4.65,52.9%,17%,0.9%,12.8%
Guyana,South America,791739,0.28%,16.74,6.95,6.99,27.5,1.04,21.63,2.06,88.8%,21.7%,2.4%,29.9%
Haiti,North America,"11,334,637",2.23%,22.31,7.23,-2.4,24.1,0.99,38.35,2.79,61.7%,65.3%,58.3%,33.2%
Vatican,Europe,1000,0%,,,,,,,,,,,
Honduras,North America,9571352,1.16%,17.64,4.69,1.32,24.4,0.95,14.77,1.98,88.5%,88.2%,88.7%,15.5%
Hungary,Europe,9670009,0.31%,8.58,12.89,1.21,43.6,0.91,4.55,1.49,99.1%,35.8%,27.8%,13.5%
Iceland,Europe,360872,0.89%,12.8,6.57,2.69,37.1,1.0,1.63,1.95,,11.9%,12%,13.4%
India,Asia,1399179585,0.7%,16.53,9.65,0.12,28.7,1.06,30.36,2.07,74.4%,41.3%,13%,28.3%
Indonesia,Asia,279476346,0.76%,15.05,6.77,0.71,31.1,1.0,19.31,1.99,96%,71.4%,3.7%,16.1%
Iran,Asia,87590873,0.93%,14.79,5.2,0.3,31.7,1.03,14.58,1.92,88.7%,24.1%,3.1%,27.2%
Iraq,Asia,41266109,1.94%,24.22,3.88,0.98,21.2,1.01,19.17,3.17,85.6%,35.1%,1.8%,27.2%
Ireland,Europe,5323991,0.91%,12.08,6.74,3.76,37.8,1.0,3.41,1.91,,22.5%,19%,17.4%
Israel,Asia,9043387,1.43%,17.3,5.05,1.99,30.4,1.01,3.49,2.54,97.8%,28.9%,13.5%,8.8%
Italy,Europe,61021855,0.11%,7.0,11.27,3.2,46.5,0.93,3.11,1.24,99.2%,26.6%,19.5%,30.9%
Jamaica,North America,2820982,0.09%,15.77,7.44,7.42,29.4,0.98,10.92,2.05,88.7%,22.1%,31.4%,26.1%
Japan,Asia,123719238,0.41%,6.9,11.74,0.74,48.6,0.95,1.88,1.39,,30.1%,10%,4.4%
Jordan,Asia,11086716,0.79%,22.37,3.47,10.99,23.5,1.1,13.56,2.91,98.4%,56.8%,12.8%,40.5%
Kazakhstan,Asia,19543464,0.73%,14.92,8.05,0.39,31.6,0.9,18.77,2.08,99.8%,39.6%,6.7%,3.7%
Kenya,Africa,57052004,2.09%,26.01,4.95,0.19,20.0,1.0,26.94,3.23,82.6%,19.5%,2.7%,13.8%
Kiribati,Oceania,115372,1.02%,19.92,6.91,2.79,25.7,0.94,32.2,2.18,,53.9%,27.3%,22.5%
North Korea,Asia,26072217,0.44%,14.06,9.66,0.04,34.6,0.95,22.0,1.89,100%,34.8%,0%,6.1%
South Korea,Asia,51966948,0.23%,6.95,7.28,2.61,43.2,1.01,2.83,1.11,,35.7%,5.9%,7.8%
Kosovo,Europe,1964327,,,,,,,,,,44.9%,57.3%,48.8%
Kuwait,Asia,3103580,1.13%,17.65,2.27,4.07,29.7,1.37,7.27,2.22,96.5%,33.5%,2.2%,25.5%
Kyrgyzstan,Asia,6122781,0.82%,19.08,6.07,4.83,27.3,0.96,25.08,2.47,99.6%,48%,2.8%,19.3%
Laos,Asia,7852377,1.3%,20.35,6.26,1.09,24.0,0.99,36.56,2.3,87.1%,53.3%,10.3%,3.3%
Latvia,Europe,1821750,1.13%,8.5,14.69,5.06,44.4,0.87,4.78,1.55,99.9%,50.3%,23.7%,15.5%
Lebanon,Asia,5331203,0.64%,12.86,5.57,0.94,33.7,1.0,6.88,1.71,95.1%,47.5%,28.9%,29.6%
Lesotho,Africa,2210646,0.76%,23.01,10.9,4.52,24.7,0.98,47.04,2.88,81%,43.1%,5.4%,37.4%
Liberia,Africa,5506280,2.71%,36.26,6.46,2.67,18.0,1.0,43.2,4.73,48.3%,14.3%,2%,3.2%
Libya,Africa,7252573,1.54%,20.88,3.45,2.05,25.8,1.04,10.95,3.04,91%,96.7%,85.6%,50.5%
Liechtenstein,Europe,39993,0.7%,10.3,8.05,4.78,43.7,0.99,3.98,1.69,,9.4%,8.8%,9.1%
Lithuania,Europe,2655755,1.04%,9.09,15.17,4.34,44.5,0.86,3.61,1.61,99.8%,42.1%,21.8%,19%
Luxembourg,Europe,660924,1.58%,11.59,7.17,11.39,39.5,1.02,3.21,1.63,,22.4%,19.8%,15.2%
Madagascar,Africa,28812195,2.22%,28.14,5.92,0.0,20.3,1.0,38.27,3.55,77.3%,42.7%,12.8%,4.8%
Malawi,Africa,21279597,2.28%,27.29,4.51,0.0,16.8,0.96,32.68,3.3,67.3%,17.5%,4.1%,9.9%
Malaysia,Asia,34219975,1.01%,14.39,5.72,1.46,29.2,1.05,6.49,1.74,95%,43.8%,1.1%,15.6%
Maldives,Asia,389568,0.17%,15.33,4.2,12.8,29.5,1.06,25.02,1.7,97.9%,44.4%,6%,17.7%
Mali,Africa,21359722,2.93%,40.54,8.3,2.99,16.0,0.95,58.99,5.45,35.5%,15.6%,1%,17.3%
Malta,Europe,467138,0.59%,9.59,8.61,4.96,42.3,1.02,4.45,1.51,94.9%,26.4%,21.6%,9.8%
